"","diff","lwr","upr","p.adj"
"Goat_Canyon-Boca_Rio",18.9594017800597,-84.8537262407085,122.772529800828,0.990396745607407
"Smugglers_Gulch-Boca_Rio",69.3991793960529,-15.3638846883166,154.162243480422,0.144107104381498
"Stewarts_Drain-Boca_Rio",57.1030870650085,-27.659977019361,141.866151149378,0.302817672082917
"TJ_River_Concrete_Channel-Boca_Rio",38.1746892184085,-46.5883748659611,122.937753302778,0.697511109793308
"Yogurt_Canyon-Boca_Rio",123.245217866744,38.4821537823745,208.008281951114,0.00281563525447093
"Smugglers_Gulch-Goat_Canyon",50.4397776159933,-53.3733504047749,154.252905636761,0.630448842436482
"Stewarts_Drain-Goat_Canyon",38.1436852849488,-65.6694427358193,141.956813305717,0.838057034937188
"TJ_River_Concrete_Channel-Goat_Canyon",19.2152874383488,-84.5978405824194,123.028415459117,0.989797237495429
"Yogurt_Canyon-Goat_Canyon",104.285816086684,0.472688065916174,208.098944107453,0.0486281466009738
"Stewarts_Drain-Smugglers_Gulch",-12.2960923310444,-97.0591564154139,72.4669717533251,0.996681221683196
"TJ_River_Concrete_Channel-Smugglers_Gulch",-31.2244901776445,-115.987554262014,53.5385739067251,0.83665254850499
"Yogurt_Canyon-Smugglers_Gulch",53.8460384706911,-30.9170256136784,138.609102555061,0.360438072938104
"TJ_River_Concrete_Channel-Stewarts_Drain",-18.9283978466001,-103.69146193097,65.8346662377695,0.976637267857296
"Yogurt_Canyon-Stewarts_Drain",66.1421308017355,-18.620933282634,150.905194886105,0.177433476710542
"Yogurt_Canyon-TJ_River_Concrete_Channel",85.0705286483356,0.307464563966036,169.833592732705,0.0489042145790903
